四分开→一完善	19.7314	6
明细→账目单	19.6319	6
东洋→证券杯	19.6319	8
城信→中心社	19.6319	10
考风→考纪	19.614	8
骨质→疏松	19.5615	6
减租→减息	19.5388	6
防盲→治盲	19.4944	6
脊髓→灰质炎	19.3688	9
给水→工程团	19.3688	8
奥斯卡→金像奖	19.2534	6
穹幕→影厅	19.1724	8
泽宁根→古堡	19.1465	7
虾丸→鸡皮	19.0793	6
鹿岛→鹿角队	19.0469	15
连城→木制品厂	19.0469	10
伏季→休渔	18.9538	8
直体→后空翻	18.9538	6
三塘→酱厂	18.9538	6
夏商周→断代	18.9538	6
液化→石油气	18.9538	13
京师→大学堂	18.9314	12
哥德巴赫→猜想	18.9241	6
三改→一加强	18.8663	17
糖精→钠	18.8663	12
锈迹→斑斑	18.8543	7
纸浆→模塑	18.8543	7
刑讯→逼供	18.8543	14
育迪→职校	18.8405	13
货邮→运输量	18.8245	6
子宫→肌瘤	18.8245	6
五台→古刹	18.7839	8
东大→阿尔派	18.7839	11
掺杂→使假	18.7059	9
险工→险段	18.6643	9
笪→县令	18.6584	11
欧里→供电所	18.6319	15
原地→踏步	18.6319	6
鲨鱼→软骨素	18.6319	11
三优→一满意	18.6059	11
取保→候审	18.5615	21
林散之→书法集	18.5615	6
参事→全今哲	18.5388	6
养家→糊口	18.5323	7
象牙→微雕	18.4944	8
脱胎→漆器	18.4944	6
厂规→厂纪	18.462	10
总督→韦奇立	18.4302	9
易燃易爆→危险物品	18.4302	14
围追→堵截	18.3688	8
关贸→总协定	18.3688	15
文传→电讯社	18.3661	22
纳西→古乐	18.3518	14
拜师→学艺	18.3465	8
悬浮→颗粒物	18.3391	6
初战→告捷	18.3205	11
李维平→刘建春	18.3099	7
大水→漫灌	18.2908	6
肃立→默哀	18.2814	6
犹他→爵士队	18.2619	13
泰明→国贸	18.2464	8
商务部长→戴利	18.2289	9
玉泉营→环岛	18.2205	15
半自动→步枪	18.2168	6
开白→砖厂	18.1989	9
镇海→炼化	18.1989	22
齐齐哈尔→黑龙队	18.1989	8
无氟→制冷剂	18.1883	10
失声→痛哭	18.183	10
房前→屋后	18.1624	13
麻省→理工学院	18.1465	13
共商→国是	18.14	16
来不得→半点	18.0958	12
解州→铝厂	18.0958	11
七人制→橄榄球赛	18.0958	17
资质→证书费	18.0793	9
慧康→托老院	18.0517	10
F—16→战斗机	18.0469	7
算术→平均数	18.0469	8
夏茸尕布→活佛	17.9996	7
氨→氮	17.9996	7
陈方→安生	17.998	29
加赛→快棋	17.9903	10
本溪市→宏达	17.9708	8
蚌埠→火柴厂	17.9689	9
明仁→天皇	17.9659	15
新堰→变电站	17.9538	6
中关村→电脑节	17.9538	6
DNA→指纹图	17.9538	8
阿尔法→磁谱仪	17.9323	25
永济→电机厂	17.9314	6
有线电视→新闻网	17.9259	8
塔山→阻击战	17.9025	19
土著→地权	17.8985	12
税务员→收税	17.877	8
统一部→次官	17.8734	6
赃款→赃物	17.851	11
从重→从快	17.8505	16
外相→小渊惠三	17.8505	8
长安→大戏院	17.8476	9
沈飞→客车队	17.8453	22
生化→需氧量	17.8383	6
短池→游泳赛	17.8328	10
涡流→磁场	17.8297	16
北界城→煤窑	17.8245	7
献计→出力	17.8245	8
几经→周折	17.8245	18
收容→遣送	17.7839	7
