考风→考纪	-0.427068
城信→中心社	-0.430482
液化→石油气	-0.496011
笪→县令	-0.741282
穹幕→影厅	-0.835201
鹿岛→鹿角队	-0.865037
关贸→总协定	-0.903528
欧里→供电所	-0.912345
骨质→疏松	-0.926904
防盲→治盲	-1.08237
北界城→煤窑	-1.1723
泽宁根→古堡	-1.18
三塘→酱厂	-1.1928
云冈→石窟	-1.20845
明细→账目单	-1.23859
围追→堵截	-1.27246
脱胎→漆器	-1.28725
减租→减息	-1.3317
东大→阿尔派	-1.3601
直体→后空翻	-1.37989
明仁→天皇	-1.39624
险工→险段	-1.41098
脊髓→灰质炎	-1.43492
纸浆→模塑	-1.46386
涡流→磁场	-1.47675
加赛→快棋	-1.53382
奥斯卡→金像奖	-1.54189
大水→漫灌	-1.59053
易燃易爆→危险物品	-1.63245
原地→踏步	-1.6588
袋料→香菇	-1.70131
鲨鱼→软骨素	-1.71215
尼赫鲁—甘地→家族	-1.7133
犹他→爵士队	-1.72938
开白→砖厂	-1.72966
京师→大学堂	-1.75077
赃款→赃物	-1.76478
厂规→厂纪	-1.77402
中南→林学院	-1.7964
制假→售假	-1.80755
动植物→检疫局	-1.82914
读报→用报	-1.84595
取保→候审	-1.84694
子宫→肌瘤	-1.85082
戈兰→高地	-1.85685
短距离→全能	-1.87776
琢→玉	-1.87932
解州→铝厂	-1.88252
镇海→炼化	-1.89689
养家→糊口	-1.89901
货邮→运输量	-1.89957
新教→教派	-1.90035
泰明→国贸	-1.91077
来不得→半点	-1.91191
配电→变压器	-1.91324
房前→屋后	-1.9219
南桐→矿务局	-1.92267
齐齐哈尔→黑龙队	-1.94025
长安→大戏院	-1.94522
拜师→学艺	-1.95365
玉溪→卷烟厂	-1.96627
F—16→战斗机	-1.98255
更年期→综合征	-1.98275
东洋→证券杯	-1.98697
土著→地权	-1.99494
藏传→佛教	-2.04882
麻省→理工学院	-2.06242
纳西→古乐	-2.06874
新堰→变电站	-2.06917
连城→木制品厂	-2.06942
画店→画廊	-2.07693
